0,Board pretreatment and punching,sp-none,Lysaght Bondek,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Promatect HBoard,,,,,
1,2D panel assembly,sp-plane,Corrugated profile,Composite floor slab,Shear stud,,,,,,,,
1,Butt weld and fillet weld,sp-none,metal pencil,Welding Electrode,Electrode,Welding rod,,,,,,,
1,3D assembly,sp-room space,Steel ceiling beam,Steel Purlins,Steel floor beam,Corner Casting,Steel Angle,Steel Column,Corner Casting,,,,
1,Apply fire paint at strucutral member,sp-room space,Fire protection paint,Firecut FM-900 paint,Firecut paint,,,,,,,,
2,Rebar Fixing,sp-none,Reinforcement Bar,Bar Chair,Steel Reinforcement Bar,Rebar,Tie Wire,Spacer,,,,,
2,Pouring Concrete,sp-none,Non-shrink Grout,Concrete,Concrete mixture,Concrete addings,Concrete,Concrete mixture,,,,,
3,Door ironmongery installation,sp-door interface,Door Ironmongery,Hinge,Handle,Latches,,,,,,,
3,Window ironmongery installation,sp-window interface,Aluminium Window,Hinge,Handle,Latches,,,,,,,
3,Door frame installation,sp-door interface,FRP Timber Door,Non-FRP Timber Door,,Glass Panel,Timber Door,,,,,,
3,Window frame installation,sp-window interface,window frame,Glass Panel,glass window,,,,,,,,
4,Installation of gypsum board at wall,sp-wall plane,Gypsum Board,Laminate for wall finsishes,Finishings,Laminates,wall finsishes,wall finishings,,,,,
4,Installation of MEP conduit at wall,sp-wall plane,uPVC Conduits and Fittings,Condiuts and Accessories,Flexible Conduit,MEP Conduit,Conduit,uPVC Conduits,,,,,
4,Stud installation at wall,sp-wall plane,Metal Skeleton,Shear stud,Runners,Wall panel,Track,Channel,Wall Tiles,Noggins and Braces,,,
4,Rockwool in-fill at wall,sp-wall plane,Rockwool,Mineral Wool Insulation,Wool,,,,,,,,
4,Fire board installation at wall,sp-wall plane,Promatect Hboard,fire board,,,,,,,,,
4,Stud installation at ceiling,sp-ceiling plane,Metal Skeleton,Shear stud,Runners,ceiling panel,Track,Channel,Wall Tiles,Noggins and Braces,,,
4,Rockwool in-fill at ceiling,sp-ceiling plane,Rockwool,Mineral Wool Insulation,Wool,,,,,,,,
4,Fire board installation at ceiling,sp-ceiling plane,Promatect Hboard,fire board,,,,,,,,,
4,Layer and coat painting at wall,sp-wall plane,Anti-mould Emulsion Paint,Emulsion Paint,Emulsion ,,,,,,,,
4,Layer and coat painting at ceiling,sp-ceiling plane,Anti-mould Emulsion Paint,Emulsion Paint,Emulsion ,,,,,,,,
5,Installation of lighting,sp-mep interface,Lighting Fittings,Battery Lighting Fittings,Lightings,Weather Wiring Accessories,Wiring Accessories,Cable Trunking,Flexible Conduit,Label,,,
5,Electrical Cable Wiring,sp-mep interface,Non-Armoured Cable,Amoured wiring,PVC cable,SWA copper cable,Cable Tray,PVC copper cable,,SWA copper cable,,,
5,Installation of MEP trunking at ceiling,sp-mep interface;ceiling plane,Cable Trunking,uPVC Pipes,Epoxy Coated Cast iron Pipes,Copper Pipes,uPVC Fittings,Epoxy Coated Cast Fittings,Epoxy pipes,Epoxy ,,,
5,Installation of sprinkler pipes,sp-mep interface,Galvanized Steel Pipes,Galvanized Steel Pipes Fittings,Grooved Pipe Fittings,Sprinkler Heads,Smoke Detectors,Fire Alarm Bells,Fire Alarm,Grooved Couplings,Fire Detector,Sprinkler Heads,Grooved Couplings
5,Window type AC installation,sp-mep interface;window interface,Window type AC,Air Grilles / Diffuser,Rubber Vibration Isolators,Activated Carbon Filter,Spring Vibration Isolators,Carbon Filter,Air Diffuser,Air Grilles,AC,Air filters,Ventilation fan
6,Installation of Vinyl floor and skirting,sp-floor plane,Non-slip PVC Sheet Vinyl,Porcelain Floor Tiles,Coved Homogeneous Skirting Tile,PVC skirting with timber parttern,Homogeneous Skirting Tile,PVC skirting,PVC Sheet Vinyl,,,,
6,Cabinets installation,sp-room space,Wall Cabinet,Toilet-Sink Cabinet,TV Cabinet,Cabinets,Toilet cabinet,Sink Cabinet,,,,,
