ID,PRE-1,WP,Task detail,PRE,SUC,PAR,SP,,,,,,,,,,,,,,,,,,
0,0,0,Board pretreatment and punching,-1,"1,2",-1,sp-none,Lysaght Bondek,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Promatect HBoard,Lysaght Bondek,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,,,,,,,
1,0,1,2D panel assembly ,0,3,2,sp-plane,Corrugated profile,Composite floor slab,Shear stud,Corrugated profile,Composite floor slab,,Shear stud,Corrugated profile,Composite floor slab,Shear stud,Corrugated profile,Composite floor slab,,,,,,
2,0,1,Butt weld and fillet weld,0,3,1,sp-none,metal pencil,Welding Electrode,Electrode,Welding rod,metal pencil,Welding Electrode,Electrode,metal pencil,Welding Electrode,Electrode,,,,,,,,
3,1,2,3D assembly,"1,2",4,-1,sp-room space,Steel ceiling beam,Steel Purlins,Steel floor beam,Corner Casting,Steel Angle,Steel Column,Corner Casting,Steel Purlins,Steel floor beam,Corner Casting,Steel Angle,,,,,,,
4,1,2,Apply fire paint at strucutral member,3,5,-1,sp-room space,Fire protection paint,Firecut FM-900 paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,,,,,,,,,
5,2,3,Rebar Fixing,4,6,-1,sp-none,Reinforcement Bar,Bar Chair,Steel Reinforcement Bar,Rebar,Tie Wire,Spacer,Reinforcement Bar,Bar Chair,Steel Reinforcement Bar,Rebar,,,,,,,,
6,2,3,Pouring Concrete,5,"7,8,9,10",-1,sp-none,Non-shrink Grout,Concrete,Concrete mixture,Concrete addings,Concrete,Concrete mixture,Concrete mixture,Concrete addings,Concrete,Concrete mixture,Concrete,Concrete mixture,Concrete addings,Concrete,,,,
7,3,4,Door ironmongery installation,6,11,"8,9,10",sp-door interface,Door Ironmongery,Hinge,Handle,Latches,FRP Timber Door,Non-FRP Timber Door,Timber Door,Handle,Latches,FRP Timber Door,Non-FRP Timber Door,Timber Door,,,,,,
8,3,4,Window ironmongery installation,6,11,"7,9,10",sp-window interface,Aluminium Window,Hinge,Handle,Latches,Glass Panel,Aluminium Window,Hinge,Handle,Latches,Glass Panel,Aluminium Window,Hinge,Handle,Latches,Glass Panel,,,
9,4,4,Door frame installation,6,11,"7,8,10",sp-door interface,Acoustic Insulation,Overhead Door Closer,Aluminium Cladding,Door threshold,Rockwool Acoustic Insulation,Door Frame,Hardwood Solid Core Flush Doors,Door Frame,Acoustic Insulation,Acoustic Insulation,Overhead Door Closer,Aluminium Cladding,Door threshold,Rockwool Acoustic Insulation,Door Frame,Hardwood Solid Core Flush Doors,,
10,4,4,Window frame installation,6,11,"7,8,9",sp-window interface,Acoustic Insulation,Aluminium Cladding,Rockwool Acoustic Insulation,Acoustic Insulation,Acoustic Insulation,Aluminium Cladding,Rockwool Acoustic Insulation,,Rockwool Acoustic Insulation,,,,,,,,,
11,5,5,Installation of gypsum board at wall surface,"7,8,9,10",12,-1,sp-wall plane,Gypsum Board,Laminate for wall finsishes,Finishings,Laminates,Gypsum Board,Laminate for wall finsishes,Finishings,Laminates,Laminates,Laminate for wall finsishes,,,,,,,,
12,5,5,Installation of MEP conduit at wall surface,11,13,-1,sp-mep interface;wall plane,uPVC Conduits and Fittings,Condiuts and Accessories,Flexible Conduit,MEP Conduit,Conduit,uPVC Conduits,uPVC Conduits and Fittings,Condiuts and Accessories,Flexible Conduit,MEP Conduit,Conduit,uPVC Conduits,,,,,,
