PRE-1,Task detail,SP,,,,,,,,,,,,,,,,,,
0,Board pretreatment and punching,sp-none,Lysaght Bondek,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,Promatect HBoard,Lysaght Bondek,Gemtree FRP Board,Gypsum Board,Cement Board,Knauf FRP Board,,,,,,,
0,2D panel assembly ,sp-plane,Corrugated profile,Composite floor slab,Shear stud,Corrugated profile,Composite floor slab,,Shear stud,Corrugated profile,Composite floor slab,Shear stud,Corrugated profile,Composite floor slab,,,,,,
0,Butt weld and fillet weld,sp-none,metal pencil,Welding Electrode,Electrode,Welding rod,metal pencil,Welding Electrode,Electrode,metal pencil,Welding Electrode,Electrode,,,,,,,,
1,3D assembly,sp-room space,Steel ceiling beam,Steel Purlins,Steel floor beam,Corner Casting,Steel Angle,Steel Column,Corner Casting,Steel Purlins,Steel floor beam,Corner Casting,Steel Angle,,,,,,,
1,Apply fire paint at strucutral member,sp-room space,Fire protection paint,Firecut FM-900 paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,Firecut paint,Firecut paint,Fire protection paint,Firecut FM-900 paint,,,,,,,,,
2,Rebar Fixing,sp-none,Reinforcement Bar,Bar Chair,Steel Reinforcement Bar,Rebar,Tie Wire,Spacer,Reinforcement Bar,Bar Chair,Steel Reinforcement Bar,Rebar,,,,,,,,
2,Pouring Concrete,sp-none,Non-shrink Grout,Concrete,Concrete mixture,Concrete addings,Concrete,Concrete mixture,Concrete mixture,Concrete addings,Concrete,Concrete mixture,Concrete,Concrete mixture,Concrete addings,Concrete,,,,
3,Door ironmongery installation,sp-door interface,Door Ironmongery,Hinge,Handle,Latches,FRP Timber Door,Non-FRP Timber Door,Timber Door,Handle,Latches,FRP Timber Door,Non-FRP Timber Door,Timber Door,,,,,,
3,Window ironmongery installation,sp-window interface,Aluminium Window,Hinge,Handle,Latches,Glass Panel,Aluminium Window,Hinge,Handle,Latches,Glass Panel,Aluminium Window,Hinge,Handle,Latches,Glass Panel,,,
4,Door frame installation,sp-door interface,Acoustic Insulation,Overhead Door Closer,Aluminium Cladding,Door threshold,Rockwool Acoustic Insulation,Door Frame,Hardwood Solid Core Flush Doors,Door Frame,Acoustic Insulation,Acoustic Insulation,Overhead Door Closer,Aluminium Cladding,Door threshold,Rockwool Acoustic Insulation,Door Frame,Hardwood Solid Core Flush Doors,,
4,Window frame installation,sp-window interface,Acoustic Insulation,Aluminium Cladding,Rockwool Acoustic Insulation,Acoustic Insulation,Acoustic Insulation,Aluminium Cladding,Rockwool Acoustic Insulation,,Rockwool Acoustic Insulation,,,,,,,,,
5,Installation of gypsum board at wall surface,sp-wall plane,Gypsum Board,Laminate for wall finsishes,Finishings,Laminates,Gypsum Board,Laminate for wall finsishes,Finishings,Laminates,Laminates,Laminate for wall finsishes,,,,,,,,
5,Installation of MEP conduit at wall surface,sp-mep interface;wall plane,uPVC Conduits and Fittings,Condiuts and Accessories,Flexible Conduit,MEP Conduit,Conduit,uPVC Conduits,uPVC Conduits and Fittings,Condiuts and Accessories,Flexible Conduit,MEP Conduit,Conduit,uPVC Conduits,,,,,,
6,Stud installation at wall,sp-wall plane,Metal Skeleton,Shear stud,Runners,Wall panel,Track,Channel,Wall Tiles,Noggins and Braces,Metal Skeleton,Shear stud,Runners,Wall panel,Track,Channel,Wall Tiles,Noggins and Braces,,
6,Rockwool in-fill at wall,sp-wall plane,Rockwool,Mineral Wool Insulation,Rockwool,Mineral Wool Insulation,Rockwool,Mineral Wool Insulation,,,,,,,,,,,,
6,Fire board installation at wall,sp-wall plane,Promatect Hboard,Gemtree Board,Gemtree FRP Board,Promatect Hboard,Gemtree Board,Gemtree FRP Board,Promatect Hboard,Gemtree Board,Gemtree FRP Board,,,,,,,,,
7,Stud installation at ceiling,sp-ceiling plane,Metal Skeleton,Shear stud,Runners,ceiling panel,Track,Channel,Wall Tiles,Noggins and Braces,Metal Skeleton,Shear stud,Runners,ceiling panel,Track,Channel,,,,
7,Rockwool in-fill at ceiling,sp-ceiling plane,Rockwool,Mineral Wool Insulation,Rockwool,Mineral Wool Insulation,Rockwool,Mineral Wool Insulation,,,,,,,,,,,,
7,Fire board installation at ceiling,sp-ceiling plane,Promatect Hboard,Gemtree Board,Gemtree FRP Board,Promatect Hboard,Gemtree Board,Gemtree FRP Board,Promatect Hboard,Gemtree Board,Gemtree FRP Board,,,,,,,,,
8,Layer and coat painting at wall,sp-wall plane,Anti-mould Emulsion Paint,Emulsion Paint,Emulsion ,Anti-mould Emulsion Paint,Emulsion Paint,Emulsion ,Anti-mould Emulsion Paint,Emulsion Paint,Emulsion ,,,,,,,,,
8,Layer and coat painting at ceiling,sp-ceiling plane,Anti-mould Emulsion Paint,Emulsion Paint,Emulsion ,Anti-mould Emulsion Paint,Emulsion Paint,Emulsion ,Anti-mould Emulsion Paint,Emulsion Paint,Emulsion ,,,,,,,,,
9,Installation of lighting,sp-mep interface,Lighting Fittings,Battery Lighting Fittings,Lightings,Weather Wiring Accessories,Wiring Accessories,Cable Trunking,Flexible Conduit,Label,Lighting Fittings,Battery Lighting Fittings,Lightings,Weather Wiring Accessories,Wiring Accessories,Cable Trunking,Flexible Conduit,Label,,
